,X,Dep,Number,Dep_n,logR_n
233,55.0,8.670000000000002,11,0.27199071387115503,0.5763582575897246
234,55.0,7.670000000000002,12,0.21337202553685436,0.6822939736385206
235,55.0,6.670000000000002,13,0.15475333720255371,0.7689453281985432
236,55.0,5.670000000000002,14,0.09613464886825307,0.8745324481075221
237,55.0,4.670000000000002,15,0.037515960533952446,0.9611285400463968
238,57.0,19.45,0,0.9039001741149157,0.7353309923567118
239,57.0,18.45,1,0.8452814857806151,0.7440028958708533
240,57.0,17.45,2,0.7866627974463145,0.7530629697227595
241,57.0,16.45,3,0.7280441091120138,0.6995006640740201
242,57.0,15.45,4,0.6694254207777132,0.6440474631729064
243,57.0,14.45,5,0.6108067324434125,0.5649988049833683
244,57.0,13.45,6,0.5521880441091119,0.453958576499687
245,57.0,12.45,7,0.49356935577481126,0.34292431732313067
246,57.0,11.45,8,0.43495066744051064,0.34756872336991373
247,57.0,10.45,9,0.37633197910620997,0.3853612948111441
248,57.0,9.45,10,0.31771329077190935,0.4574511413312151
249,57.0,8.45,11,0.2590946024376087,0.6395062502539497
250,57.0,7.449999999999999,12,0.20047591410330806,0.6558192178572035
251,57.0,6.449999999999999,13,0.14185722576900744,0.8452780433093646
252,57.0,5.449999999999999,14,0.08323853743470679,0.9420455982552276
253,57.0,4.449999999999999,15,0.02461984910040616,0.9420455982552276
254,59.0,19.03,0,0.8792803250145095,0.6104065759020508
255,59.0,18.03,1,0.8206616366802089,0.6297481995645803
256,59.0,17.03,2,0.7620429483459084,0.6308222282154174
257,59.0,16.03,3,0.7034242600116077,0.6036002564877895
258,59.0,15.030000000000001,4,0.644805571677307,0.5742244974192712
259,59.0,14.030000000000001,5,0.5861868833430064,0.5140468213995009
260,59.0,13.030000000000001,6,0.5275681950087058,0.4040516701646991
261,59.0,12.030000000000001,7,0.4689495066744051,0.29124981899160846
262,59.0,11.030000000000001,8,0.41033081834010443,0.2792078126670191
263,59.0,10.030000000000001,9,0.35171213000580387,0.4086669012241706
264,59.0,9.030000000000001,10,0.2930934416715032,0.46392037488477156
265,59.0,8.030000000000001,11,0.23447475333720255,0.618977602320957
266,59.0,7.030000000000001,12,0.17585606500290193,0.7163332065238955
267,59.0,6.030000000000001,13,0.11723737666860128,0.8374603914556192
268,59.0,5.030000000000001,14,0.05861868833430064,0.9277884875739256
269,59.0,4.030000000000001,15,0.0,0.9277884875739256
270,61.0,18.99,0,0.8769355774811374,0.518236767829969
271,61.0,17.99,1,0.8183168891468368,0.46645386430410785
272,61.0,16.99,2,0.7596982008125361,0.4759015228941486
273,61.0,15.989999999999998,3,0.7010795124782354,0.49178673905689996
274,61.0,14.989999999999998,4,0.6424608241439348,0.4866398653397655
275,61.0,13.989999999999998,5,0.5838421358096342,0.4456183475707227
276,61.0,12.989999999999998,6,0.5252234474753334,0.34165011966122427
277,61.0,11.989999999999998,7,0.4666047591410329,0.2506978881111841
278,61.0,10.989999999999998,8,0.40798607080673227,0.237413799258468
279,61.0,9.989999999999998,9,0.34936738247243165,0.362967694755227
280,61.0,8.989999999999998,10,0.29074869413813104,0.4720861136776494
